model,hour,mae,rmse,smape
SeasonalNaive_D1,0,18.355,27.418029454125378,37.889560245063784
SeasonalNaive_D1,1,18.60939276485788,27.97478012304684,40.406178249870614
SeasonalNaive_D1,2,18.47470284237726,27.620695415674785,40.68108016152965
SeasonalNaive_D1,3,18.529625322997415,27.83267366112381,37.92391118329282
SeasonalNaive_D1,4,21.883785529715762,31.8308286018948,36.44736777657531
SeasonalNaive_D1,5,29.55658914728682,42.78602306556946,39.3840610751008
SeasonalNaive_D1,6,34.217416020671834,49.9126925182223,44.220276290885366
SeasonalNaive_D1,7,34.42210594315245,50.39373317981562,55.09966637037842
SeasonalNaive_D1,8,30.603372093023253,45.04221078130139,67.49660165214802
SeasonalNaive_D1,9,29.22204134366925,42.23694596737746,78.6312795061236
SeasonalNaive_D1,10,29.384857881136952,42.737234166914995,84.77233308111963
SeasonalNaive_D1,11,30.392674418604653,44.32984452525268,90.10134055390657
SeasonalNaive_D1,12,30.236731266149874,43.827462640729586,90.27891167281585
SeasonalNaive_D1,13,28.78722222222222,41.75802246182739,83.27195079521216
SeasonalNaive_D1,14,29.325981912144705,45.130721096527,70.86571459266538
SeasonalNaive_D1,15,31.73228682170543,52.960853332050036,49.70759462365575
SeasonalNaive_D1,16,34.968953488372094,63.696784565262696,30.831256735502716
SeasonalNaive_D1,17,39.64081395348837,66.88672960332583,28.617111010123512
SeasonalNaive_D1,18,35.78463824289406,53.62398808186144,27.9037183917617
SeasonalNaive_D1,19,23.831563307493536,34.45767370833644,24.167025726802038
SeasonalNaive_D1,20,17.292906976744185,25.166161771720642,22.163063657434638
SeasonalNaive_D1,21,15.94377260981912,23.43755965504897,23.428182358954132
SeasonalNaive_D1,22,18.2496511627907,27.185518743039747,31.92939041119729
SeasonalNaive_D1,23,18.69946959896507,27.655632480406815,35.34042728399637
SeasonalNaive_D7,0,25.856795865633075,36.417274857000706,47.84253182641725
SeasonalNaive_D7,1,25.941589147286823,36.79134233222859,50.05993890247038
SeasonalNaive_D7,2,25.67277777777777,36.42940919986437,50.138746298194015
SeasonalNaive_D7,3,25.66453488372093,36.332609872962315,47.90544147091207
SeasonalNaive_D7,4,26.352635658914732,36.84967192782902,42.81662054218129
SeasonalNaive_D7,5,30.258062015503874,43.00485372522093,41.47766375340032
SeasonalNaive_D7,6,32.28394056847545,51.57182069746694,42.92312270491959
SeasonalNaive_D7,7,34.16448320413437,56.12641702198795,52.97952028461255
SeasonalNaive_D7,8,34.876382428940566,54.69032847480595,68.80292173952148
SeasonalNaive_D7,9,35.844302325581396,52.88690219611855,86.12389723304392
SeasonalNaive_D7,10,37.495594315245484,54.35511808126174,97.13947527397782
SeasonalNaive_D7,11,38.16454780361757,55.642239864206964,101.18137076786415
SeasonalNaive_D7,12,37.22435400516796,54.5951615103016,100.25308895588844
SeasonalNaive_D7,13,35.75014211886305,52.49281114679441,91.39938165495823
SeasonalNaive_D7,14,36.10184754521964,56.97146382906862,77.33382240384167
SeasonalNaive_D7,15,38.36365633074936,67.21101079409404,54.31842725048376
SeasonalNaive_D7,16,42.61131782945737,83.17627341013741,35.21417541137016
SeasonalNaive_D7,17,47.83922480620155,83.8610456854822,33.179710226854894
SeasonalNaive_D7,18,41.027687338501295,64.73633304328777,31.74178599520971
SeasonalNaive_D7,19,29.636356589147287,43.178975118083365,29.513992223857453
SeasonalNaive_D7,20,23.123242894056848,33.247171683248496,28.184106293788357
SeasonalNaive_D7,21,21.91795865633075,31.541354896926194,30.40090835411234
SeasonalNaive_D7,22,24.848113695090444,35.436940914748114,39.88655679463014
SeasonalNaive_D7,23,25.749236739974123,36.25720085324855,44.12537482241731
ElasticNet,0,8.677319152243786,11.031177083685675,21.1942330906529
ElasticNet,1,8.69505944168712,10.971801005015278,22.20878942498936
ElasticNet,2,9.42917879826907,12.34380664821666,23.332107264904025
ElasticNet,3,9.131932633802426,11.609368525960404,21.63208838324898
ElasticNet,4,9.808518460092028,12.523059706381915,19.231083397398073
ElasticNet,5,10.541810224195027,14.457491294158858,17.466808136510725
ElasticNet,6,10.832562710236804,16.50739419958173,18.91294976732197
ElasticNet,7,9.90189952172839,15.914221249950605,24.437879861986683
ElasticNet,8,9.906167007038327,15.107489550200519,34.77314877008901
ElasticNet,9,9.543267308095327,13.561686891328018,44.35091288036311
ElasticNet,10,9.608540275279799,14.079071053867729,47.277558120353845
ElasticNet,11,10.032887452205589,14.820448264879102,48.36049673935122
ElasticNet,12,10.9912127624483,15.520330897849718,51.15555294183929
ElasticNet,13,10.135528271069623,14.463770968597274,44.62162870156195
ElasticNet,14,10.729491785352074,16.505231880208537,38.84536582086832
ElasticNet,15,11.607868078047233,21.855907155789147,25.82982787394147
ElasticNet,16,13.112662362998707,30.194927969262697,12.403436075854989
ElasticNet,17,14.941682910388442,29.794230866908023,11.123765155657656
ElasticNet,18,13.888650041521135,21.730591952869116,11.1673967328293
ElasticNet,19,10.894377216811044,15.841153376096523,11.059083897329844
ElasticNet,20,9.102243508948355,13.096836096251975,11.079326701498333
ElasticNet,21,8.444092347701009,11.780988671638767,11.839683582906018
ElasticNet,22,8.457534999309543,11.290986181678287,16.378080895366214
ElasticNet,23,8.622421747409707,11.307125450710556,19.241193089468627
LightGBM,0,7.539748180207226,9.994955499521634,18.93771806169392
LightGBM,1,7.171674724322841,9.481178498714574,19.532365755287252
LightGBM,2,7.390699809419858,9.870502776100462,21.612364363755898
LightGBM,3,7.728444894649059,10.203860140237094,20.132403503723662
LightGBM,4,8.563734637390246,11.467308675321975,17.596609791688742
LightGBM,5,10.073699680217963,13.260776166969288,16.630211803406635
LightGBM,6,9.697892175491777,15.158565056147717,18.132724228403553
LightGBM,7,9.136377573949803,14.595808649777851,23.85810172943923
LightGBM,8,8.959564156589034,13.790854093864864,32.88888102458508
LightGBM,9,9.501642864961616,13.75187584295316,43.300555081158855
LightGBM,10,10.844897275052064,16.571950722667452,50.897450513133805
LightGBM,11,12.208535831067936,18.7279163827259,53.39088851806591
LightGBM,12,12.867254003633418,19.41739903447652,55.24608725004486
LightGBM,13,10.930734712069933,16.040059100258386,49.80820080675263
LightGBM,14,9.209576569815816,14.349467637534927,37.20213245711789
LightGBM,15,10.026733069461113,19.355825110082435,23.386093115643327
LightGBM,16,12.415596480661712,27.235251758308188,12.30589286392904
LightGBM,17,13.628669354702652,25.83974491593908,10.680797330447257
LightGBM,18,12.775448761442748,18.934433084067685,10.637198192558966
LightGBM,19,10.35533401967718,14.014871480172998,10.700479385058896
LightGBM,20,8.064623431293763,10.656093519926337,10.354830408407919
LightGBM,21,7.336367489584842,9.666137439495305,11.215700002783393
LightGBM,22,7.263938629423176,9.738827211607074,14.501453641339904
LightGBM,23,7.507077028180408,9.827161460973496,17.410239084384816
