Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Oct 1, 2018 12:00 AM;Oct 1, 2018 1:00 AM;-;-
Oct 1, 2018 1:00 AM;Oct 1, 2018 2:00 AM;-;-
Oct 1, 2018 2:00 AM;Oct 1, 2018 3:00 AM;42,628.00;36,725.50
Oct 1, 2018 3:00 AM;Oct 1, 2018 4:00 AM;42,986.75;36,655.25
Oct 1, 2018 4:00 AM;Oct 1, 2018 5:00 AM;44,675.00;37,720.50
Oct 1, 2018 5:00 AM;Oct 1, 2018 6:00 AM;48,813.25;41,168.75
Oct 1, 2018 6:00 AM;Oct 1, 2018 7:00 AM;57,869.00;49,594.50
Oct 1, 2018 7:00 AM;Oct 1, 2018 8:00 AM;63,091.50;53,889.75
Oct 1, 2018 8:00 AM;Oct 1, 2018 9:00 AM;65,697.25;54,550.50
Oct 1, 2018 9:00 AM;Oct 1, 2018 10:00 AM;66,773.50;53,095.75
Oct 1, 2018 10:00 AM;Oct 1, 2018 11:00 AM;67,731.25;50,836.50
Oct 1, 2018 11:00 AM;Oct 1, 2018 12:00 PM;69,087.00;49,030.25
Oct 1, 2018 12:00 PM;Oct 1, 2018 1:00 PM;67,618.50;45,185.75
Oct 1, 2018 1:00 PM;Oct 1, 2018 2:00 PM;67,284.75;43,355.25
Oct 1, 2018 2:00 PM;Oct 1, 2018 3:00 PM;65,931.00;41,115.75
Oct 1, 2018 3:00 PM;Oct 1, 2018 4:00 PM;65,181.25;40,755.00
Oct 1, 2018 4:00 PM;Oct 1, 2018 5:00 PM;63,297.50;40,537.50
Oct 1, 2018 5:00 PM;Oct 1, 2018 6:00 PM;63,258.25;42,910.75
Oct 1, 2018 6:00 PM;Oct 1, 2018 7:00 PM;63,779.00;45,887.00
Oct 1, 2018 7:00 PM;Oct 1, 2018 8:00 PM;64,215.50;46,822.25
Oct 1, 2018 8:00 PM;Oct 1, 2018 9:00 PM;62,493.50;44,915.25
Oct 1, 2018 9:00 PM;Oct 1, 2018 10:00 PM;59,105.25;41,479.25
Oct 1, 2018 10:00 PM;Oct 1, 2018 11:00 PM;54,674.00;37,550.00
Oct 1, 2018 11:00 PM;Oct 2, 2018 12:00 AM;51,064.00;34,599.75
Oct 2, 2018 12:00 AM;Oct 2, 2018 1:00 AM;46,408.00;30,100.00
Oct 2, 2018 1:00 AM;Oct 2, 2018 2:00 AM;44,746.00;28,843.25
Oct 2, 2018 2:00 AM;Oct 2, 2018 3:00 AM;-;-
Oct 2, 2018 3:00 AM;Oct 2, 2018 4:00 AM;-;-
Oct 2, 2018 4:00 AM;Oct 2, 2018 5:00 AM;-;-
Oct 2, 2018 5:00 AM;Oct 2, 2018 6:00 AM;-;-
Oct 2, 2018 6:00 AM;Oct 2, 2018 7:00 AM;-;-
Oct 2, 2018 7:00 AM;Oct 2, 2018 8:00 AM;-;-
Oct 2, 2018 8:00 AM;Oct 2, 2018 9:00 AM;-;-
Oct 2, 2018 9:00 AM;Oct 2, 2018 10:00 AM;-;-
Oct 2, 2018 10:00 AM;Oct 2, 2018 11:00 AM;-;-
Oct 2, 2018 11:00 AM;Oct 2, 2018 12:00 PM;-;-
Oct 2, 2018 12:00 PM;Oct 2, 2018 1:00 PM;-;-
Oct 2, 2018 1:00 PM;Oct 2, 2018 2:00 PM;-;-
Oct 2, 2018 2:00 PM;Oct 2, 2018 3:00 PM;-;-
Oct 2, 2018 3:00 PM;Oct 2, 2018 4:00 PM;-;-
Oct 2, 2018 4:00 PM;Oct 2, 2018 5:00 PM;-;-
Oct 2, 2018 5:00 PM;Oct 2, 2018 6:00 PM;-;-
Oct 2, 2018 6:00 PM;Oct 2, 2018 7:00 PM;-;-
Oct 2, 2018 7:00 PM;Oct 2, 2018 8:00 PM;-;-
Oct 2, 2018 8:00 PM;Oct 2, 2018 9:00 PM;-;-
Oct 2, 2018 9:00 PM;Oct 2, 2018 10:00 PM;-;-
Oct 2, 2018 10:00 PM;Oct 2, 2018 11:00 PM;-;-
Oct 2, 2018 11:00 PM;Oct 3, 2018 12:00 AM;-;-
Oct 3, 2018 12:00 AM;Oct 3, 2018 1:00 AM;-;-
Oct 3, 2018 1:00 AM;Oct 3, 2018 2:00 AM;-;-
Oct 3, 2018 2:00 AM;Oct 3, 2018 3:00 AM;-;-
Oct 3, 2018 3:00 AM;Oct 3, 2018 4:00 AM;-;-
Oct 3, 2018 4:00 AM;Oct 3, 2018 5:00 AM;-;-
Oct 3, 2018 5:00 AM;Oct 3, 2018 6:00 AM;-;-
Oct 3, 2018 6:00 AM;Oct 3, 2018 7:00 AM;-;-
Oct 3, 2018 7:00 AM;Oct 3, 2018 8:00 AM;-;-
Oct 3, 2018 8:00 AM;Oct 3, 2018 9:00 AM;-;-
Oct 3, 2018 9:00 AM;Oct 3, 2018 10:00 AM;-;-
Oct 3, 2018 10:00 AM;Oct 3, 2018 11:00 AM;-;-
Oct 3, 2018 11:00 AM;Oct 3, 2018 12:00 PM;-;-
Oct 3, 2018 12:00 PM;Oct 3, 2018 1:00 PM;-;-
Oct 3, 2018 1:00 PM;Oct 3, 2018 2:00 PM;-;-
Oct 3, 2018 2:00 PM;Oct 3, 2018 3:00 PM;-;-
Oct 3, 2018 3:00 PM;Oct 3, 2018 4:00 PM;-;-
Oct 3, 2018 4:00 PM;Oct 3, 2018 5:00 PM;-;-
Oct 3, 2018 5:00 PM;Oct 3, 2018 6:00 PM;-;-
Oct 3, 2018 6:00 PM;Oct 3, 2018 7:00 PM;-;-
Oct 3, 2018 7:00 PM;Oct 3, 2018 8:00 PM;-;-
Oct 3, 2018 8:00 PM;Oct 3, 2018 9:00 PM;-;-
Oct 3, 2018 9:00 PM;Oct 3, 2018 10:00 PM;-;-
Oct 3, 2018 10:00 PM;Oct 3, 2018 11:00 PM;-;-
Oct 3, 2018 11:00 PM;Oct 4, 2018 12:00 AM;-;-
Oct 4, 2018 12:00 AM;Oct 4, 2018 1:00 AM;-;-
Oct 4, 2018 1:00 AM;Oct 4, 2018 2:00 AM;-;-
Oct 4, 2018 2:00 AM;Oct 4, 2018 3:00 AM;-;-
Oct 4, 2018 3:00 AM;Oct 4, 2018 4:00 AM;-;-
Oct 4, 2018 4:00 AM;Oct 4, 2018 5:00 AM;-;-
Oct 4, 2018 5:00 AM;Oct 4, 2018 6:00 AM;-;-
Oct 4, 2018 6:00 AM;Oct 4, 2018 7:00 AM;-;-
Oct 4, 2018 7:00 AM;Oct 4, 2018 8:00 AM;-;-
Oct 4, 2018 8:00 AM;Oct 4, 2018 9:00 AM;-;-
Oct 4, 2018 9:00 AM;Oct 4, 2018 10:00 AM;-;-
Oct 4, 2018 10:00 AM;Oct 4, 2018 11:00 AM;-;-
Oct 4, 2018 11:00 AM;Oct 4, 2018 12:00 PM;-;-
Oct 4, 2018 12:00 PM;Oct 4, 2018 1:00 PM;-;-
Oct 4, 2018 1:00 PM;Oct 4, 2018 2:00 PM;-;-
Oct 4, 2018 2:00 PM;Oct 4, 2018 3:00 PM;-;-
Oct 4, 2018 3:00 PM;Oct 4, 2018 4:00 PM;-;-
Oct 4, 2018 4:00 PM;Oct 4, 2018 5:00 PM;-;-
Oct 4, 2018 5:00 PM;Oct 4, 2018 6:00 PM;-;-
Oct 4, 2018 6:00 PM;Oct 4, 2018 7:00 PM;-;-
Oct 4, 2018 7:00 PM;Oct 4, 2018 8:00 PM;-;-
Oct 4, 2018 8:00 PM;Oct 4, 2018 9:00 PM;-;-
Oct 4, 2018 9:00 PM;Oct 4, 2018 10:00 PM;-;-
Oct 4, 2018 10:00 PM;Oct 4, 2018 11:00 PM;-;-
Oct 4, 2018 11:00 PM;Oct 5, 2018 12:00 AM;-;-
Oct 5, 2018 12:00 AM;Oct 5, 2018 1:00 AM;-;-
Oct 5, 2018 1:00 AM;Oct 5, 2018 2:00 AM;-;-
Oct 5, 2018 2:00 AM;Oct 5, 2018 3:00 AM;-;-
Oct 5, 2018 3:00 AM;Oct 5, 2018 4:00 AM;-;-
Oct 5, 2018 4:00 AM;Oct 5, 2018 5:00 AM;-;-
Oct 5, 2018 5:00 AM;Oct 5, 2018 6:00 AM;-;-
Oct 5, 2018 6:00 AM;Oct 5, 2018 7:00 AM;-;-
Oct 5, 2018 7:00 AM;Oct 5, 2018 8:00 AM;-;-
Oct 5, 2018 8:00 AM;Oct 5, 2018 9:00 AM;-;-
Oct 5, 2018 9:00 AM;Oct 5, 2018 10:00 AM;-;-
Oct 5, 2018 10:00 AM;Oct 5, 2018 11:00 AM;-;-
Oct 5, 2018 11:00 AM;Oct 5, 2018 12:00 PM;-;-
Oct 5, 2018 12:00 PM;Oct 5, 2018 1:00 PM;-;-
Oct 5, 2018 1:00 PM;Oct 5, 2018 2:00 PM;-;-
Oct 5, 2018 2:00 PM;Oct 5, 2018 3:00 PM;-;-
Oct 5, 2018 3:00 PM;Oct 5, 2018 4:00 PM;-;-
Oct 5, 2018 4:00 PM;Oct 5, 2018 5:00 PM;-;-
Oct 5, 2018 5:00 PM;Oct 5, 2018 6:00 PM;-;-
Oct 5, 2018 6:00 PM;Oct 5, 2018 7:00 PM;-;-
Oct 5, 2018 7:00 PM;Oct 5, 2018 8:00 PM;-;-
Oct 5, 2018 8:00 PM;Oct 5, 2018 9:00 PM;-;-
Oct 5, 2018 9:00 PM;Oct 5, 2018 10:00 PM;-;-
Oct 5, 2018 10:00 PM;Oct 5, 2018 11:00 PM;-;-
Oct 5, 2018 11:00 PM;Oct 6, 2018 12:00 AM;-;-
Oct 6, 2018 12:00 AM;Oct 6, 2018 1:00 AM;-;-
Oct 6, 2018 1:00 AM;Oct 6, 2018 2:00 AM;-;-
Oct 6, 2018 2:00 AM;Oct 6, 2018 3:00 AM;44,305.75;35,648.00
Oct 6, 2018 3:00 AM;Oct 6, 2018 4:00 AM;44,011.50;35,975.25
Oct 6, 2018 4:00 AM;Oct 6, 2018 5:00 AM;44,315.75;36,608.50
Oct 6, 2018 5:00 AM;Oct 6, 2018 6:00 AM;44,698.00;37,040.25
Oct 6, 2018 6:00 AM;Oct 6, 2018 7:00 AM;46,403.00;38,555.50
Oct 6, 2018 7:00 AM;Oct 6, 2018 8:00 AM;49,370.50;40,977.50
Oct 6, 2018 8:00 AM;Oct 6, 2018 9:00 AM;53,156.50;41,466.00
Oct 6, 2018 9:00 AM;Oct 6, 2018 10:00 AM;56,146.75;39,905.75
Oct 6, 2018 10:00 AM;Oct 6, 2018 11:00 AM;57,223.00;37,342.00
Oct 6, 2018 11:00 AM;Oct 6, 2018 12:00 PM;58,016.25;35,060.00
Oct 6, 2018 12:00 PM;Oct 6, 2018 1:00 PM;56,600.25;31,593.00
Oct 6, 2018 1:00 PM;Oct 6, 2018 2:00 PM;54,888.75;29,561.00
Oct 6, 2018 2:00 PM;Oct 6, 2018 3:00 PM;53,593.25;29,916.75
