Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;52,305.00;35,376.75;5,262.75;30,114.00;0.00;16,928.25
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;50,979.00;34,897.75;5,068.00;29,829.75;0.00;16,081.25
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;50,741.00;34,576.75;4,932.25;29,644.50;0.00;16,164.25
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;49,511.00;34,138.00;4,762.00;29,376.00;0.00;15,373.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;48,683.00;33,764.75;4,571.25;29,193.50;0.00;14,918.25
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;48,803.00;33,572.75;4,357.75;29,215.00;0.00;15,230.25
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;49,157.00;33,840.25;4,198.00;29,642.25;0.00;15,316.75
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;50,380.00;34,005.00;4,144.25;29,860.75;0.00;16,375.00
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;54,583.00;34,931.75;4,166.75;30,128.75;636.25;19,651.25
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;58,252.00;37,877.50;4,234.00;30,138.50;3,505.00;20,374.50
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;61,354.00;40,904.50;4,225.50;30,107.25;6,571.75;20,449.50
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;63,832.00;42,665.50;4,236.75;30,281.00;8,147.75;21,166.50
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;64,491.00;42,768.25;4,246.25;30,417.75;8,104.25;21,722.75
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;62,142.00;41,301.75;4,279.50;30,115.50;6,906.75;20,840.25
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;57,863.00;38,148.25;4,295.25;29,237.75;4,615.25;19,714.75
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;53,758.00;34,152.75;4,224.00;28,186.75;1,742.00;19,605.25
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;52,338.00;31,420.50;4,015.25;27,287.75;117.50;20,917.50
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;53,603.00;31,312.00;4,336.00;26,976.00;0.00;22,291.00
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;54,943.00;31,308.50;4,521.00;26,787.50;0.00;23,634.50
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;55,728.00;30,847.00;4,528.00;26,319.00;0.00;24,881.00
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;53,377.00;30,001.75;4,417.50;25,584.25;0.00;23,375.25
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;50,762.00;28,543.50;4,250.25;24,293.25;0.00;22,218.50
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;48,031.00;26,690.50;3,988.25;22,702.25;0.00;21,340.50
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;45,496.00;24,872.75;3,580.25;21,292.50;0.00;20,623.25
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;44,523.00;24,106.75;3,676.75;20,430.00;0.00;20,416.25
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;43,573.00;23,265.75;3,701.00;19,564.75;0.00;20,307.25
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;44,297.00;23,280.00;3,781.75;19,498.25;0.00;21,017.00
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;45,087.00;24,537.75;4,113.25;20,424.50;0.00;20,549.25
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;47,078.00;26,717.00;4,493.50;22,223.50;0.00;20,361.00
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;50,488.00;29,386.00;4,745.50;24,640.50;0.00;21,102.00
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;55,847.00;32,208.00;4,778.25;27,429.75;0.00;23,639.00
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;60,842.00;34,201.25;4,749.50;29,451.75;0.00;26,640.75
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;64,331.00;36,010.25;4,737.25;31,124.00;149.00;28,320.75
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;65,121.00;37,240.00;4,618.25;32,042.25;579.50;27,881.00
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;64,475.00;37,626.50;4,590.25;32,052.75;983.50;26,848.50
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;63,248.00;37,162.75;4,506.50;31,361.75;1,294.50;26,085.25
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;61,553.00;36,148.50;4,408.75;30,342.00;1,397.75;25,404.50
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;59,755.00;34,581.75;4,148.25;29,198.00;1,235.50;25,173.25
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;57,839.00;32,364.00;3,806.50;27,765.50;792.00;25,475.00
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;57,808.00;30,453.00;3,355.00;26,753.00;345.00;27,355.00
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;59,211.00;30,002.00;3,279.75;26,665.25;57.00;29,209.00
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;60,888.00;31,431.75;3,585.50;27,846.25;0.00;29,456.25
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;63,201.00;33,827.75;4,161.50;29,666.25;0.00;29,373.25
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;64,852.00;36,220.50;4,812.25;31,408.25;0.00;28,631.50
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;65,478.00;38,383.50;5,238.75;33,144.75;0.00;27,094.50
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;65,607.00;40,201.00;5,359.50;34,841.50;0.00;25,406.00
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;65,173.00;41,208.75;5,266.75;35,942.00;0.00;23,964.25
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;64,615.00;42,501.00;5,095.50;37,405.50;0.00;22,114.00
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;59,381.00;41,907.25;3,180.00;38,727.25;0.00;17,473.75
